RaceNo,WPM,Accuracy,Points,Date,Rank,Racers
1,68,97.1,55,2019-06-16,3,5
2,80,98.1,76,2019-06-16,2,5
3,59,95.2,36,2019-06-16,4,5
4,63,97.0,62,2019-06-16,4,5
5,58,94.7,39,2019-06-16,4,5
6,63,95.0,33,2019-06-16,4,5
7,68,96.7,66,2019-06-16,1,4
8,77,97.8,39,2019-06-16,2,5
9,73,98.2,87,2019-06-16,2,4
10,63,95.2,41,2019-06-16,4,5
11,55,95.4,48,2019-06-16,2,5
12,71,95.7,58,2019-06-16,3,4
13,64,96.2,48,2019-06-16,2,5
14,59,94.4,47,2019-06-16,4,5
15,72,97.3,101,2019-06-16,1,3
16,63,95.7,106,2019-06-17,1,4
17,74,96.3,85,2019-06-17,1,5
18,61,95.8,72,2019-06-17,3,5
19,52,95.6,45,2019-06-17,2,3
20,69,97.4,118,2019-06-17,2,3
21,55,94.6,48,2019-06-17,1,5
22,79,97.6,34,2019-06-17,2,5
23,50,95.9,22,2019-06-17,5,5
24,59,95.5,30,2019-06-17,1,5
25,70,97.5,39,2019-06-18,2,5
26,78,98.0,57,2019-06-18,2,5
27,76,97.5,39,2019-06-18,1,5
28,79,98.1,64,2019-06-21,2,5
29,69,97.1,105,2019-06-21,3,5
30,72,97.1,60,2019-06-21,3,5
31,78,97.7,73,2019-06-21,4,5
32,65,95.6,84,2019-06-21,2,5
33,78,97.9,42,2019-06-21,2,5
34,67,96.5,29,2019-06-21,2,5
35,68,95.4,36,2019-06-22,1,3
36,67,96.0,65,2019-06-22,1,2
37,64,96.4,65,2019-06-23,4,4
38,69,97.0,61,2019-06-23,3,4
39,75,97.2,74,2019-06-23,1,5
40,64,95.3,57,2019-06-23,2,4
41,71,95.6,35,2019-06-23,1,4
42,76,95.8,53,2019-06-23,2,5
43,78,98.5,50,2019-06-26,1,4
44,78,97.8,116,2019-07-07,1,4
45,65,96.2,48,2019-07-07,3,5
46,76,96.0,42,2019-07-07,2,4
47,76,98.0,55,2019-07-07,3,4
48,72,97.1,68,2019-07-07,3,5
49,58,95.3,60,2019-07-07,1,3
50,93,98.6,51,2019-08-05,2,5
51,74,96.0,124,2019-08-05,2,5
52,70,95.6,100,2019-08-13,3,4
53,102,96.6,20,2019-08-13,1,4
54,52,92.9,24,2019-08-13,5,5
55,84,97.6,73,2019-08-13,1,4
56,88,96.1,79,2019-12-12,5,5
57,71,95.7,40,2019-12-12,1,4
58,82,95.5,145,2019-12-12,1,3
59,77,95.5,41,2019-12-12,1,5
60,88,98.3,92,2019-12-12,1,4
61,100,98.2,63,2019-12-12,1,5
62,83,97.3,58,2019-12-12,2,5
63,77,96.1,48,2019-12-12,1,4
64,86,97.8,55,2019-12-12,2,5
65,82,96.3,57,2019-12-12,4,5
66,86,97.0,81,2019-12-12,1,4
67,89,97.2,97,2019-12-12,2,4
68,82,96.2,73,2019-12-12,3,5
69,85,97.6,78,2019-12-12,1,3
70,80,96.2,50,2019-12-12,1,5
71,71,95.6,58,2019-12-12,5,5
72,71,95.8,56,2019-12-12,1,5
73,79,97.0,79,2019-12-12,1,4
74,74,97.0,50,2019-12-12,1,5
75,90,97.9,47,2019-12-12,1,5
76,74,95.2,56,2019-12-12,3,5
77,83,97.2,68,2019-12-12,1,5
78,82,97.3,52,2019-12-12,1,5
79,73,95.2,89,2019-12-12,3,5
80,80,96.4,67,2019-12-12,1,4
81,67,95.4,49,2019-12-12,2,5
82,73,95.3,46,2019-12-12,1,5
83,58,95.0,9,2019-12-12,4,4
84,92,96.8,132,2019-12-12,2,5
85,90,97.2,57,2019-12-12,1,5
86,91,97.5,50,2019-12-12,1,5
87,90,97.3,87,2019-12-12,1,4
88,100,97.8,53,2019-12-12,1,5
89,100,99.0,62,2019-12-12,2,5
90,75,95.7,76,2019-12-12,2,4
91,96,98.4,99,2019-12-12,2,5
92,57,95.4,43,2019-12-12,3,5
93,96,98.2,64,2019-12-12,2,5
94,89,97.2,123,2019-12-12,1,5
95,88,97.4,63,2019-12-12,1,4
96,94,97.4,58,2019-12-12,2,5
97,81,96.1,84,2019-12-12,2,3
98,84,97.9,70,2019-12-12,2,5
99,92,96.9,45,2019-12-12,2,5
100,66,95.5,56,2019-12-12,5,5
101,75,96.5,188,2019-12-12,2,3
102,104,99.2,36,2019-12-12,1,5
103,95,98.5,73,2019-12-12,4,5
104,67,95.5,71,2019-12-12,4,5
105,81,97.0,101,2019-12-12,4,5
106,84,97.3,50,2019-12-12,1,5
107,88,96.9,73,2019-12-12,2,5
108,64,94.4,74,2019-12-12,3,4
109,97,98.2,71,2019-12-12,1,4
110,76,96.6,74,2019-12-12,2,4
111,97,98.2,68,2019-12-12,1,5
112,91,97.0,43,2019-12-12,2,5
113,73,95.1,71,2019-12-12,1,5
114,75,96.8,82,2019-12-12,1,5
115,80,96.1,87,2019-12-12,2,4
116,87,98.1,61,2019-12-12,3,5
117,80,96.0,62,2019-12-12,5,5
118,88,97.8,63,2019-12-12,1,5
119,89,98.1,119,2019-12-12,3,5
120,93,98.3,65,2019-12-12,1,5
121,74,95.8,56,2019-12-12,2,5
122,82,96.4,103,2019-12-12,3,5
123,87,97.2,77,2019-12-12,1,5
124,101,97.3,44,2019-12-12,1,5
125,78,95.9,56,2019-12-12,5,5
126,74,95.9,77,2019-12-12,2,5
127,70,94.9,33,2019-12-12,2,5
128,90,99.0,49,2019-12-12,4,5
129,74,97.5,85,2019-12-12,4,5
130,87,97.3,75,2019-12-12,2,4
131,77,96.3,49,2019-12-12,4,5
132,86,96.0,46,2019-12-12,3,4
133,85,97.8,54,2019-12-12,4,5
134,80,97.5,69,2019-12-12,2,5
135,79,96.9,80,2019-12-12,4,4
136,80,97.2,77,2019-12-12,1,3
137,90,97.3,56,2019-12-12,1,5
138,82,96.8,125,2019-12-12,2,4
139,81,96.9,80,2019-12-12,3,4
140,78,96.5,40,2019-12-12,3,5
141,82,97.0,204,2019-12-12,1,5
142,80,97.1,63,2019-12-12,2,5
143,94,99.1,85,2019-12-12,3,5
144,90,96.8,53,2019-12-12,1,5
145,98,99.0,59,2019-12-12,1,5
146,81,96.4,118,2019-12-12,1,5
147,95,98.8,44,2019-12-12,3,5
148,80,96.2,59,2019-12-12,4,5
149,86,97.2,96,2019-12-12,2,4
150,90,97.3,158,2019-12-12,2,4
151,112,99.5,71,2019-12-12,1,5
152,76,96.1,38,2019-12-12,4,5
153,78,97.0,92,2019-12-12,2,5
154,86,97.1,83,2019-12-12,4,5
155,88,96.3,94,2019-12-12,2,5
156,89,97.2,83,2019-12-12,1,5
157,71,95.7,37,2019-12-13,3,5
158,94,98.8,63,2019-12-13,2,5
159,88,97.5,82,2019-12-13,2,4
160,89,96.9,169,2019-12-13,2,5
161,62,91.5,32,2019-12-13,5,5
162,75,96.3,61,2019-12-13,1,4
163,78,94.9,47,2019-12-13,3,3
164,80,97.0,104,2019-12-13,1,4
165,90,97.7,61,2019-12-13,2,5
166,75,95.5,96,2019-12-13,2,5
167,83,96.2,48,2019-12-13,4,5
168,80,97.0,37,2019-12-13,2,5
169,92,96.5,76,2019-12-13,1,4
170,77,94.5,31,2019-12-13,3,5
171,66,96.1,66,2019-12-13,4,4
172,76,96.0,89,2019-12-13,3,5
173,60,95.1,39,2019-12-13,4,5
